Temp,MaxTemp,MinTemp,LinkMargin,timestamp
6.9125,20.1003,0.8037,148,2016-10-09T22:04:48.416Z
7.0250,20.1003,0.8037,148,2016-10-09T22:04:18.534Z
6.9125,20.1003,0.8037,148,2016-10-09T22:03:53.527Z
7.0250,20.1003,0.8037,148,2016-10-09T22:02:48.935Z
7.0250,20.1003,0.8037,148,2016-10-09T22:02:19.667Z
7.0250,20.1003,0.8037,148,2016-10-09T22:01:48.495Z
6.9125,20.1003,0.8037,148,2016-10-09T22:01:18.677Z
7.0250,20.1003,0.8037,148,2016-10-09T22:00:48.856Z
6.9125,20.1003,0.8037,148,2016-10-09T22:00:18.693Z
6.9125,20.1003,0.8037,148,2016-10-09T21:59:48.483Z
6.9125,20.1003,0.8037,148,2016-10-09T21:59:18.640Z
6.8000,20.1003,0.8037,148,2016-10-09T21:58:48.457Z
6.6875,20.1003,0.8037,148,2016-10-09T21:58:27.180Z
6.6875,20.1003,0.8037,148,2016-10-09T21:57:48.436Z
6.5750,20.1003,0.8037,148,2016-10-09T21:57:19.333Z
6.5750,20.1003,0.8037,148,2016-10-09T21:56:48.420Z
6.4625,20.1003,0.8037,148,2016-10-09T21:56:18.434Z
6.4625,20.1003,0.8037,148,2016-10-09T21:55:48.627Z
6.3500,20.1003,0.8037,148,2016-10-09T21:55:18.528Z
6.2375,20.1003,0.8037,148,2016-10-09T21:54:48.818Z
6.3500,20.1003,0.8037,148,2016-10-09T21:54:18.746Z
6.2375,20.1003,0.8037,148,2016-10-09T21:53:49.134Z
6.1250,20.1003,0.8037,148,2016-10-09T21:53:20.115Z
6.0125,20.1003,0.8037,148,2016-10-09T21:52:22.649Z
5.9000,20.1003,0.8037,148,2016-10-09T21:51:48.575Z
5.9000,20.1003,0.8037,148,2016-10-09T21:51:18.794Z
5.7875,20.1003,0.8037,148,2016-10-09T21:50:48.466Z
5.6750,20.1003,0.8037,148,2016-10-09T21:50:18.895Z
5.5625,20.1003,0.8037,148,2016-10-09T21:49:49.352Z
5.5625,20.1003,0.8037,148,2016-10-09T21:49:18.434Z
5.4500,20.1003,0.8037,148,2016-10-09T21:48:50.297Z
5.4500,20.1003,0.8037,148,2016-10-09T21:48:27.645Z
5.3375,20.1003,0.8037,148,2016-10-09T21:47:48.409Z
5.2250,20.1003,0.8037,148,2016-10-09T21:47:18.641Z
5.1125,20.1003,0.8037,148,2016-10-09T21:46:49.197Z
5.1125,20.1003,0.8037,148,2016-10-09T21:46:19.754Z
5.0000,20.1003,0.8037,148,2016-10-09T21:45:48.390Z
5.0000,20.1003,0.8037,148,2016-10-09T21:45:18.381Z
5.0000,20.1003,0.8037,148,2016-10-09T21:44:48.833Z
4.8875,20.1003,0.8037,148,2016-10-09T21:44:18.557Z
4.7750,20.1003,0.8037,148,2016-10-09T21:43:49.344Z
4.7750,20.1003,0.8037,148,2016-10-09T21:43:20.217Z
4.7750,20.1003,0.8037,148,2016-10-09T21:42:48.941Z
4.6625,20.1003,0.8037,148,2016-10-09T21:42:19.406Z
4.5500,20.1003,0.8037,148,2016-10-09T21:41:48.444Z
4.4375,20.1003,0.8037,148,2016-10-09T21:41:18.439Z
4.3250,20.1003,0.8037,148,2016-10-09T21:40:48.449Z
4.3250,20.1003,0.8037,148,2016-10-09T21:40:18.724Z
4.2125,20.1003,0.8037,148,2016-10-09T21:39:48.414Z
4.2125,20.1003,0.8037,148,2016-10-09T21:39:19.256Z
4.2125,20.1003,0.8037,148,2016-10-09T21:38:49.080Z
4.1000,20.1003,0.8037,148,2016-10-09T21:38:19.485Z
4.1000,20.1003,0.8037,148,2016-10-09T21:37:48.386Z
3.9875,20.1003,0.8037,148,2016-10-09T21:37:18.379Z
3.9875,20.1003,0.8037,148,2016-10-09T21:36:48.977Z
3.8750,20.1003,0.8037,148,2016-10-09T21:36:19.225Z
3.8750,20.1003,0.8037,148,2016-10-09T21:35:49.432Z
3.7625,20.1003,0.8037,148,2016-10-09T21:35:19.102Z
3.7625,20.1003,0.8037,148,2016-10-09T21:34:18.901Z
3.7625,20.1003,0.8037,148,2016-10-09T21:33:48.470Z
3.7625,20.1003,0.8037,148,2016-10-09T21:33:19.054Z
3.7625,20.1003,0.8037,148,2016-10-09T21:32:48.435Z
3.6500,20.1003,0.8037,148,2016-10-09T21:32:19.321Z
3.6500,20.1003,0.8037,148,2016-10-09T21:31:48.418Z
3.5375,20.1003,0.8037,148,2016-10-09T21:31:18.486Z
3.5375,20.1003,0.8037,148,2016-10-09T21:30:48.408Z
3.4250,20.1003,0.8037,148,2016-10-09T21:29:48.398Z
